AC_NO,AC_NAME_win,DISTRICT_win,GENERAL_SC_win,Candidate_win,Party_win,Votes_win,Alliance_win,Margin_win,Status_win,Vote_Percent_win,Total_Votes_Polled_win,Candidate_ru,Party_ru,Votes_ru,Vote_Percent_ru,Alliance_ru,JS_Votes
192,Sandesh,BHOJPUR,GENERAL,RADHA CHARAN SAH,Janata Dal (United),80598,NDA,27,won,43.99,183230,DIPU SINGH,Rashtriya Janata Dal,80571,43.97,INDIA,6040.0
203,Ramgarh,KAIMUR  (BHABHUA),GENERAL,SATISH KUMAR SINGH YADAV,Bahujan Samaj Party,72689,OTHERS,30,won,37.31,194844,ASHOK KUMAR SINGH,Bharatiya Janata Party,72659,37.29,NDA,4426.0
195,Agiaon,BHOJPUR,SC,MAHESH PASWAN,Bharatiya Janata Party,69412,NDA,95,won,45.2,153554,SHIV PRAKASH RANJAN,Communist Party of India (Marxist-Leninist) (Liberation),69317,45.14,OTHERS,3882.0
221,Nabinagar,AURANGABAD,GENERAL,CHETAN ANAND,Janata Dal (United),80380,NDA,112,won,42.29,190066,AMOD KUMAR SINGH,Rashtriya Janata Dal,80268,42.23,INDIA,4085.0
21,Dhaka,PURVI  CHAMPARAN,GENERAL,FAISAL RAHMAN,Rashtriya Janata Dal,112727,INDIA,178,won,45.72,246580,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,112549,45.64,NDA,8347.0
48,Forbesganj,ARARIA,GENERAL,MANOJ BISHWAS,Indian National Congress,120114,INDIA,221,won,47.77,251439,VIDYA SAGAR KESHARI,Bharatiya Janata Party,119893,47.68,NDA,977.0
65,Balrampur,KATIHAR,GENERAL,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),80459,OTHERS,389,won,29.04,277074,MOHAMMAD ADIL HASAN,All India Majlis-E-Ittehadul Muslimeen,80070,28.9,OTHERS,2614.0
7,Chanpatia,PASCHIM  CHAMPARAN,GENERAL,ABHISHEK RANJAN,Indian National Congress,87538,INDIA,602,won,40.07,218455,UMAKANT SINGH,Bharatiya Janata Party,86936,39.8,NDA,37172.0
216,Jehanabad,JAHANABAD,GENERAL,RAHUL KUMAR,Rashtriya Janata Dal,86402,INDIA,793,won,44.64,193541,CHANDESHWAR PRASAD,Janata Dal (United),85609,44.23,NDA,5760.0
229,Bodh Gaya,GAYA,SC,KUMAR SARVJEET,Rashtriya Janata Dal,100236,INDIA,881,won,43.38,231073,SHYAMDEO PASWAN,Lok Janshakti Party (Ram Vilas),99355,43.0,OTHERS,4024.0
180,Bakhtiarpur,PATNA,GENERAL,ARUN KUMAR S/O SATRUGHAN SAO,Lok Janshakti Party (Ram Vilas),88520,OTHERS,981,won,45.14,196100,ANIRUDDH KUMAR,Rashtriya Janata Dal,87539,44.64,INDIA,6581.0
116,Taraiya,SARAN,GENERAL,JANAK SINGH,Bharatiya Janata Party,85564,NDA,1329,won,44.21,193538,SHAILENDRA PRATAP,Rashtriya Janata Dal,84235,43.52,INDIA,5086.0
12,Narkatia,PURVI  CHAMPARAN,GENERAL,VISHAL KUMAR,Janata Dal (United),104450,NDA,1443,won,46.7,223643,SHAMIM AHMAD,Rashtriya Janata Dal,103007,46.06,INDIA,7002.0
218,Makhdumpur,JAHANABAD,SC,SUBEDAR DAS,Rashtriya Janata Dal,74769,INDIA,1830,won,44.93,166399,RANI KUMARI,Lok Janshakti Party (Ram Vilas),72939,43.83,OTHERS,4803.0
75,Saharsa,SAHARSA,GENERAL,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,115036,OTHERS,2038,won,44.28,259763,ALOK RANJAN,Bharatiya Janata Party,112998,43.5,NDA,12786.0
231,Tikari,GAYA,GENERAL,AJAY KUMAR,Rashtriya Janata Dal,97550,INDIA,2058,won,45.79,213025,ANIL KUMAR,Hindustani Awam Morcha (Secular),95492,44.83,OTHERS,2552.0
201,Dumraon,BUXAR,GENERAL,RAHUL KUMAR SINGH,Janata Dal (United),79411,NDA,2105,won,40.37,196707,DR. AJIT KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),77306,39.3,OTHERS,5273.0
106,Ziradei,SIWAN,GENERAL,BHISM PRATAP SINGH,Janata Dal (United),66227,NDA,2626,won,41.94,157926,AMARJEET KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),63601,40.27,OTHERS,10125.0
213,Karakat,ROHTAS,GENERAL,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),74157,OTHERS,2836,won,37.51,197715,MAHABALI SINGH,Janata Dal (United),71321,36.07,NDA,7503.0
72,Singheshwar,MADHEPURA,SC,RAMESH RISHI,Janata Dal (United),106416,NDA,2982,won,46.43,229174,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,103434,45.13,INDIA,3516.0
27,Bajpatti,SITAMARHI,GENERAL,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,99144,OTHERS,3395,won,45.02,220241,MUKESH KUMAR YADAV,Rashtriya Janata Dal,95749,43.47,INDIA,6174.0
120,Amnour,SARAN,GENERAL,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,75525,NDA,3808,won,44.52,169661,SUNIL KUMAR,Rashtriya Janata Dal,71717,42.27,INDIA,6031.0
219,Goh,AURANGABAD,GENERAL,AMRENDRA KUMAR,Rashtriya Janata Dal,93624,INDIA,4041,won,44.23,211669,DR. RANVIJAY KUMAR,Bharatiya Janata Party,89583,42.32,NDA,7996.0
141,Cheria - Bariarpur,,,ABHISHEK ANAND,Janata Dal (United),75081,NDA,4119,won,39.24,191316,SUSHIL KUMAR,Rashtriya Janata Dal,70962,37.09,INDIA,24595.0
242,Jhajha,JAMUI,GENERAL,DAMODAR RAWAT,Janata Dal (United),108317,NDA,4262,won,44.42,243866,JAY PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,104055,42.67,INDIA,6148.0
122,Sonepur,SARAN,GENERAL,VINAY KUMAR SINGH,Bharatiya Janata Party,90842,NDA,4767,won,45.59,199240,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,86075,43.2,INDIA,11977.0
144,Matihani,BEGUSARAI,GENERAL,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Rashtriya Janata Dal,117789,INDIA,5290,won,47.66,247152,RAJ KUMAR SINGH,Janata Dal (United),112499,45.52,NDA,6774.0
13,Harsidhi,PURVI  CHAMPARAN,SC,KRISHNANANDAN PASWAN,Bharatiya Janata Party,96864,NDA,7095,won,47.74,202899,RAJENDRA KUMAR,Rashtriya Janata Dal,89769,44.24,INDIA,9568.0
140,Hasanpur,SAMASTIPUR,GENERAL,RAJ KUMAR RAY,Janata Dal (United),90961,NDA,7914,won,44.43,204712,MALA PUSHPAM,Rashtriya Janata Dal,83047,40.57,INDIA,9553.0
185,Fatuha,PATNA,GENERAL,DR. RAMANAND YADAV,Rashtriya Janata Dal,90558,INDIA,7992,won,45.69,198180,RUPA KUMARI,Lok Janshakti Party (Ram Vilas),82566,41.66,OTHERS,8598.0
202,Rajpur,BUXAR,SC,SANTOSH KUMAR NIRALA,Janata Dal (United),80701,NDA,9136,won,38.19,211325,VISHWANATH RAM,Indian National Congress,71565,33.86,INDIA,12491.0
138,Bibhutipur,SAMASTIPUR,GENERAL,AJAY KUMAR,Communist Party of India (Marxist),79246,OTHERS,10281,won,40.37,196318,RAVINA KUSHWAHA,Janata Dal (United),68965,35.13,NDA,13450.0
226,Sherghati,GAYA,GENERAL,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),77270,OTHERS,13524,won,38.13,202640,PRAMOD KUMAR VERMA,Rashtriya Janata Dal,63746,31.46,INDIA,18982.0
117,Marhaura,SARAN,GENERAL,JITENDRA KUMAR RAI,Rashtriya Janata Dal,86118,INDIA,27928,won,47.97,179508,NAVEEN KUMAR SINGH URAF ABHAY SINGH,Jan Suraaj Party,58190,32.42,OTHERS,58190.0
50,Jokihat,ARARIA,GENERAL,MOHAMMAD MURSHID ALAM,All India Majlis-E-Ittehadul Muslimeen,83737,OTHERS,28803,won,38.52,217385,MANZAR ALAM,Janata Dal (United),54934,25.27,NDA,35354.0
