AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District,Margin_Bucket,<500,0.5-2K,2_10K,10_25K,25_50K,50K_plus,Multi_Cornered_Count
1,Valmiki Nagar,SURENDRA PRASAD,Indian National Congress,107730,1675,won,233632,PASCHIM  CHAMPARAN,GENERAL,1893875.0,0.5-2K,0,1,0,0,0,0,2
2,Ramnagar,NAND KISHOR RAM,Bharatiya Janata Party,115214,35680,won,212859,PASCHIM  CHAMPARAN,SC,1893875.0,25-50K,0,0,0,0,1,0,2
3,Narkatiaganj,SANJAY KUMAR PANDEY,Bharatiya Janata Party,100044,26458,won,196691,PASCHIM  CHAMPARAN,GENERAL,1893875.0,25-50K,0,0,0,0,1,0,2
4,Bagaha,RAM SINGH,Bharatiya Janata Party,106875,6313,won,225532,PASCHIM  CHAMPARAN,GENERAL,1893875.0,2-10K,0,0,1,0,0,0,2
5,Lauriya,VINAY BIHARI,Bharatiya Janata Party,96510,26966,won,191647,PASCHIM  CHAMPARAN,GENERAL,1893875.0,25-50K,0,0,0,0,1,0,2
6,Nautan,NARAYAN PRASAD,Bharatiya Janata Party,101952,22072,won,207833,PASCHIM  CHAMPARAN,GENERAL,1893875.0,10-25K,0,0,0,1,0,0,2
7,Chanpatia,ABHISHEK RANJAN,Indian National Congress,87538,602,won,218455,PASCHIM  CHAMPARAN,GENERAL,1893875.0,0.5-2K,0,1,0,0,0,0,3
8,Bettiah,RENU DEVI,Bharatiya Janata Party,91907,22373,won,196464,PASCHIM  CHAMPARAN,GENERAL,1893875.0,10-25K,0,0,0,1,0,0,3
9,Sikta,SAMMRIDH VARMA,Janata Dal (United),97173,47144,won,210762,PASCHIM  CHAMPARAN,GENERAL,1893875.0,25-50K,0,0,0,0,1,0,3
10,Raxaul,PRAMOD KUMAR SINHA,Bharatiya Janata Party,106765,17878,won,215448,PURVI  CHAMPARAN,GENERAL,2474209.0,10-25K,0,0,0,1,0,0,2
