AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
1,Valmiki Nagar,SURENDRA PRASAD,Indian National Congress,107730,1675,won,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
1,Valmiki Nagar,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Janata Dal (United),106055,-1675,lost,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
1,Valmiki Nagar,RAMESHWAR YADAV,Bahujan Samaj Party,5312,-102418,lost,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
1,Valmiki Nagar,MAHMAD JALIL,Independent,2426,-105304,lost,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
1,Valmiki Nagar,RAJESH SHARMA,Lok Samaj Party,2303,-105427,lost,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
1,Valmiki Nagar,SURENDRA RAM,Independent,1852,-105878,lost,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
1,Valmiki Nagar,AZHARUDDIN ANSARI,Independent,1554,-106176,lost,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
1,Valmiki Nagar,NOTA,None of the Above,6400,-101330,,233632,PASCHIM  CHAMPARAN,GENERAL,1893875
2,Ramnagar,NAND KISHOR RAM,Bharatiya Janata Party,115214,35680,won,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,SUBODH KUMAR,Rashtriya Janata Dal,79534,-35680,lost,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,PAPPU KUMAR RANJAN,Jan Suraaj Party,6992,-108222,lost,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,AADITYA KUMAR,Bahujan Samaj Party,2663,-112551,lost,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,SANTOSH RAM,Independent,2295,-112919,lost,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,ANGAD RAM,Independent,1842,-113372,lost,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,VASHISHTHA PASWAN,Suheldev Bharatiya Samaj Party,1517,-113697,lost,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,LALAN PASWAN,Nationalist Congress Party,618,-114596,lost,212859,PASCHIM  CHAMPARAN,SC,1893875
2,Ramnagar,NOTA,None of the Above,2184,-113030,,212859,PASCHIM  CHAMPARAN,SC,1893875
3,Narkatiaganj,SANJAY KUMAR PANDEY,Bharatiya Janata Party,100044,26458,won,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,DEEPAK YADAV,Rashtriya Janata Dal,73586,-26458,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,SHASHWAT KEDAR,Indian National Congress,5388,-94656,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,MD. WASIULLAH,Jan Suraaj Party,4238,-95806,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,ISHTEYAK AHAMAD,Independent,3831,-96213,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,MAYA DEVI,Independent,2337,-97707,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,DILSHAD AHMAD,Fauji Janta Party,1238,-98806,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,RAJENDRA PRASAD YADAV,Independent,1205,-98839,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,MD MOTIUR RAHMAN,Bahujan Samaj Party,951,-99093,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,SAMEER SUNU,Independent,703,-99341,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,DHRUP RAM,Independent,676,-99368,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,MOHAMMAD RASHID AZIM,Nationalist Congress Party,291,-99753,lost,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
3,Narkatiaganj,NOTA,None of the Above,2203,-97841,,196691,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,RAM SINGH,Bharatiya Janata Party,106875,6313,won,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,JAYESH MANGALAM SINGH,Indian National Congress,100562,-6313,lost,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,NANDESH PANDEY URF CHUNNU PANDEY,Jan Suraaj Party,5799,-101076,lost,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,DINESH AGRAWAL,Independent,4239,-102636,lost,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,MAHFOOZ ALAM,Aazad Samaj Party (Kanshi Ram),2659,-104216,lost,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,RAHUL TIWARI,Right to Recall Party,1111,-105764,lost,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,SHAILESH KUMAR CHAUDHARY,Bharat Jan Jagran Dal,1028,-105847,lost,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
4,Bagaha,NOTA,None of the Above,3259,-103616,,225532,PASCHIM  CHAMPARAN,GENERAL,1893875
5,Lauriya,VINAY BIHARI,Bharatiya Janata Party,96510,26966,won,191647,PASCHIM  CHAMPARAN,GENERAL,1893875
5,Lauriya,RAN KAUSHAL PRATAP SINGH,Vikassheel Insaan Party,69544,-26966,lost,191647,PASCHIM  CHAMPARAN,GENERAL,1893875
5,Lauriya,SUNIL KUMAR,Jan Suraaj Party,15722,-80788,lost,191647,PASCHIM  CHAMPARAN,GENERAL,1893875
5,Lauriya,PAPPU KUMAR THAKUR,The Plurals Party,4035,-92475,lost,191647,PASCHIM  CHAMPARAN,GENERAL,1893875
5,Lauriya,MOHAMMAD HAROON,Bahujan Samaj Party,3442,-93068,lost,191647,PASCHIM  CHAMPARAN,GENERAL,1893875
5,Lauriya,NOTA,None of the Above,2394,-94116,,191647,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,NARAYAN PRASAD,Bharatiya Janata Party,101952,22072,won,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,AMIT KUMAR,Indian National Congress,79880,-22072,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,SANTOSH CHAUDHARI,Jan Suraaj Party,12082,-89870,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,VIRENDRA RAO,Bahujan Samaj Party,2714,-99238,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,BIPIN BIHARI PANDEY,Independent,1990,-99962,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,SIKANDAR RAM,Independent,1943,-100009,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,CHITRANJAN KUMAR PATEL,Independent,1533,-100419,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,SANJAY PRASAD ALIAS SANJAY KUMAR SINGH,Apni Janta Party,822,-101130,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,AJEET KUMAR SAH,Janshakti Janta Dal,782,-101170,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
