AC_NO,AC_NAME,DISTRICT
1,Valmiki Nagar,PASCHIM  CHAMPARAN
2,Ramnagar (SC),PASCHIM  CHAMPARAN
3,Narkatiaganj,PASCHIM  CHAMPARAN
4,Bagaha,PASCHIM  CHAMPARAN
5,Lauriya,PASCHIM  CHAMPARAN
6,Nautan,PASCHIM  CHAMPARAN
7,Chanpatia,PASCHIM  CHAMPARAN
8,Bettiah,PASCHIM  CHAMPARAN
9,Sikta,PASCHIM  CHAMPARAN
10,Raxaul,PURVI  CHAMPARAN
11,Sugauli,PURVI  CHAMPARAN
12,Narkatia,PURVI  CHAMPARAN
13,Harsidhi (SC),PURVI  CHAMPARAN
14,Govindganj,PURVI  CHAMPARAN
15,Kesaria,PURVI  CHAMPARAN
16,Kalyanpur,PURVI  CHAMPARAN
17,Pipra,PURVI  CHAMPARAN
18,Madhuban,PURVI  CHAMPARAN
19,Motihari,PURVI  CHAMPARAN
20,Chiraia,PURVI  CHAMPARAN
21,Dhaka,PURVI  CHAMPARAN
22,Sheohar,SHEOHAR
23,Riga,SITAMARHI
24,Bathnaha (SC),SITAMARHI
25,Parihar,SITAMARHI
26,Sursand,SITAMARHI
27,Bajpatti,SITAMARHI
28,Sitamarhi,SITAMARHI
29,Runnisaidpur,SITAMARHI
30,Belsand,SITAMARHI
31,Harlakhi,MADHUBANI
32,Benipatti,MADHUBANI
33,Khajauli,MADHUBANI
34,Babubarhi,MADHUBANI
35,Bisfi,MADHUBANI
36,Madhubani,MADHUBANI
37,Rajnagar (SC),MADHUBANI
38,Jhanjharpur,MADHUBANI
39,Phulparas,MADHUBANI
40,Laukaha,MADHUBANI
41,Nirmali,SUPAUL
42,Pipra,SUPAUL
43,Supaul,SUPAUL
44,Triveniganj (SC),SUPAUL
45,Chhatapur,SUPAUL
46,Narpatganj,ARARIA
47,Raniganj (SC),ARARIA
48,Forbesganj,ARARIA
49,Araria,<NA>
50,Jokihat,<NA>
51,Sikti,<NA>
52,Bahadurganj,KISHANGANJ
53,Thakurganj,KISHANGANJ
54,Kishanganj,KISHANGANJ
55,Kochadhaman,KISHANGANJ
56,Amour,PURNIA
57,Baisi,PURNIA
58,Kasba,PURNIA
59,Banmankhi (SC),PURNIA
60,Rupauli,PURNIA
61,Dhamdaha,PURNIA
62,Purnia,PURNIA
63,Katihar,KATIHAR
64,Kadwa,KATIHAR
65,Balrampur,KATIHAR
66,Pranpur,KATIHAR
67,Manihari (ST),KATIHAR
68,Barari,KATIHAR
69,Korha (SC),KATIHAR
70,Alamnagar,MADHEPURA
71,Bihariganj,MADHEPURA
72,Singheshwar (SC),MADHEPURA
73,Madhepura,MADHEPURA
74,Sonbarsha (SC),SAHARSA
75,Saharsa,SAHARSA
76,Simri Bakhtiarpur,SAHARSA
77,Mahishi,SAHARSA
78,Kusheshwar Asthan (SC),DARBHANGA
79,Gaura Bauram,DARBHANGA
80,Benipur,DARBHANGA
81,Alinagar,DARBHANGA
82,Darbhanga Rural,DARBHANGA
83,Darbhanga,DARBHANGA
84,Hayaghat,DARBHANGA
85,Bahadurpur,DARBHANGA
86,Keoti,DARBHANGA
87,Jale,DARBHANGA
88,Gaighat,MUZAFFARPUR
89,Aurai,MUZAFFARPUR
90,Minapur,MUZAFFARPUR
91,Bochaha (SC),MUZAFFARPUR
92,Sakra (SC),MUZAFFARPUR
93,Kurhani,MUZAFFARPUR
94,Muzaffarpur,MUZAFFARPUR
95,Kanti,MUZAFFARPUR
96,Baruraj,MUZAFFARPUR
97,Paroo,<NA>
98,Sahebganj,<NA>
99,Baikunthpur,GOPALGANJ
100,Barauli,GOPALGANJ
101,Gopalganj,GOPALGANJ
102,Kuchaikote,GOPALGANJ
103,Bhorey (SC),GOPALGANJ
104,Hathua,GOPALGANJ
105,Siwan,SIWAN
106,Ziradei,SIWAN
107,Darauli (SC),SIWAN
108,Raghunathpur,SIWAN
109,Daraundha,SIWAN
110,Barharia,SIWAN
111,Goriakothi,SIWAN
112,Maharajganj,SIWAN
113,Ekma,SARAN
